197	Chapeco, Brazil	-27.0952662	-52.6169899
484	Charallave, Venezuela	10.2110018	-66.8677563
427	Chiclayo, Peru	-6.7700798	-79.8549907
339	Chillan, Chile	-36.6062618	-72.1023351
431	Chimbote, Peru	-9.0633364	-78.589011
439	Chincha Alta, Peru	-13.42553	-76.136711
446	Chosica, Peru	-12.0096967	-76.9053613
396	Cienaga, Colombia	11.007984	-74.248926
463	Ciudad Bolivar, Venezuela	8.0882791	-63.5535552
416	Ciudad del Este, Paraguay	-25.4987076	-54.6636526
456	Ciudad Guayana, Venezuela	8.3663119	-62.6496813
46	Cochabamba, Bolivia	-17.4139766	-66.1653224
277	Colatina, Brazil	-19.5368995	-40.6307885
158	Colombo, Brazil	-25.3644204	-49.1860165
30	Comodoro Rivadavia, Argentina	-45.8656149	-67.4822429
331	Concepcion, Chile	-36.8201352	-73.0443904
29	Concordia, Argentina	-31.3913921	-58.017434
253	Conselheiro Lafaiete, Brazil	-20.6610086	-43.7866376
82	Contagem, Brazil	-19.9384589	-44.0518344
344	Copiapo, Chile	-27.3665763	-70.3321587
336	Coquimbo, Chile	-29.9590009	-71.3389183
2	Cordoba, Argentina	-31.4200833	-64.1887761
472	Coro, Venezuela	11.394604	-69.6810338
350	Coronel, Chile	-37.0340769	-73.1404838
281	Coronel Fabriciano, Brazil	-19.5195034	-42.6280223
14	Corrientes, Argentina	-27.4692131	-58.8306349
296	Corumba, Brazil	-19.0051788	-57.6527913
186	Cotia, Brazil	-23.6059252	-46.926502
313	Crato, Brazil	-7.2299572	-39.4122984
196	Criciuma, Brazil	-28.6774765	-49.3703765
474	Cua, Venezuela	10.1709167	-66.8915809
243	Cubatao, Brazil	-23.8844644	-46.4208663
356	Cucuta, Colombia	7.8890971	-72.4966896
400	Cuenca, Ecuador	-2.9001285	-79.0058965
87	Cuiaba, Brazil	-15.5954142	-56.0925824
467	Cumana, Venezuela	10.431916	-64.183316
348	Curico, Chile	-34.9779853	-71.2528803
61	Curitiba, Brazil	-25.4372382	-49.2699727
432	Cusco, Peru	-13.53195	-71.9674626
103	Diadema, Brazil	-23.6879922	-46.6251796
174	Divinopolis, Brazil	-20.1435294	-44.8904062
378	Dosquebradas, Colombia	4.8318256	-75.6805678
195	Dourados, Brazil	-22.2236054	-54.812498
393	Duitama, Colombia	5.8268951	-73.0329273
72	Duque de Caxias, Brazil	-22.7868557	-43.3130887
491	Ejido, Venezuela	8.5493413	-71.2428737
480	El Limon, Venezuela	10.29041	-67.6274785
479	El Tigre, Venezuela	8.8819995	-64.2329738
405	Eloy Alfaro, Ecuador	-0.401069	-80.079781
156	Embu, Brazil	-23.6498081	-46.8532804
380	Envigado, Colombia	6.1672865	-75.5836963
297	Erechim, Brazil	-27.6348823	-52.2737817
273	Esmeraldas, Brazil	-19.76095	-44.3138014
406	Esmeraldas, Ecuador	0.9681789	-79.6517202
249	Eunapolis, Brazil	-16.3751025	-39.5881125
391	Facatativa, Colombia	4.809984	-74.354009
90	Feira de Santana, Brazil	-12.2535848	-38.9600762
420	Fernando de la Mora, Paraguay	-25.3268586	-57.548132
190	Ferraz de Vasconcelos, Brazil	-23.5403642	-46.3693545
383	Florencia, Colombia	1.6153858	-75.6042364
98	Florianopolis, Brazil	-27.5948036	-48.5569286
374	Floridablanca, Colombia	7.0720568	-73.1068227
22	Formosa, Argentina	-26.1857768	-58.1755669
58	Fortaleza, Brazil	-3.7327203	-38.5270134
129	Foz do Iguacu, Brazil	-25.5163356	-54.5853764
127	Franca, Brazil	-20.5394551	-47.4010979
187	Francisco Morato, Brazil	-23.2794319	-46.7448066
261	Franco da Rocha, Brazil	-23.3279532	-46.7244016
395	Fusagasuga, Colombia	4.345152	-74.361823
258	Garanhuns, Brazil	-8.8908798	-36.4964777
414	Georgetown, Guyana	6.8012793	-58.1551255
384	Girardot City, Colombia	4.3045959	-74.8031414
388	Giron, Colombia	7.0803339	-73.171039
66	Goiania, Brazil	-16.6868912	-49.2647943
144	Governador Valadares, Brazil	-18.8558333	-41.9571898
150	Gravatai, Brazil	-29.9398869	-50.9947529
478	Guacara, Venezuela	10.2646995	-67.8927472
386	Guadalajara de Buga, Colombia	3.8946048	-76.3055772
279	Guaiba, Brazil	-30.1079519	-51.3196503
489	Guanare, Venezuela	9.0371279	-69.7286928
280	Guarapari, Brazil	-20.6738927	-40.4999838
206	Guarapuava, Brazil	-25.3888586	-51.4612553
270	Guaratingueta, Brazil	-22.8036913	-45.1859219
475	Guarenas, Venezuela	10.4714668	-66.6163401
125	Guaruja, Brazil	-23.9947975	-46.2568564
67	Guarulhos, Brazil	-23.4596858	-46.5328559
473	Guatire, Venezuela	10.4578313	-66.5381024
